"rank","Genotype","order","branching_type","n","total","prob"
3,"gariguette",0,"branch crown",1,6,0.166666666666667
3,"gariguette",0,"vegetative bud",5,6,0.833333333333333
3,"Leroy Ladurie",0,"stolon",4,4,1
3,"Leroy Ladurie",1,"vegetative bud",1,1,1
3,"Leroy Ladurie",2,"branch crown",1,1,1
3,"Magnum",0,"branch crown",3,6,0.5
3,"Magnum",0,"vegetative bud",3,6,0.5
3,"Manon",0,"branch crown",2,5,0.4
3,"Manon",0,"vegetative bud",3,5,0.6
3,"Manon",1,"branch crown",1,1,1
3,"Moutot",0,"branch crown",2,3,0.666666666666667
3,"Moutot",0,"vegetative bud",1,3,0.333333333333333
3,"Moutot",1,"branch crown",1,1,1
3,"Osiris",0,"branch crown",4,6,0.666666666666667
3,"Osiris",0,"vegetative bud",2,6,0.333333333333333
3,"Rubis",0,"branch crown",1,2,0.5
3,"Rubis",0,"vegetative bud",1,2,0.5
3,"Rubis",1,"vegetative bud",1,1,1
3,"Rubis",2,"branch crown",1,1,1
3,"Sanié",0,"branch crown",2,3,0.666666666666667
3,"Sanié",0,"vegetative bud",1,3,0.333333333333333
3,"Sanié",1,"vegetative bud",1,1,1
3,"Sanié",2,"branch crown",2,2,1
3,"Sans rivale",0,"branch crown",3,3,1
4,"Belle_et_Bonne",0,"branch crown",3,5,0.6
4,"Belle_et_Bonne",0,"stolon",1,5,0.2
4,"Belle_et_Bonne",0,"vegetative bud",1,5,0.2
4,"Belrubi",0,"branch crown",3,4,0.75
4,"Belrubi",0,"vegetative bud",1,4,0.25
4,"Belrubi",1,"vegetative bud",1,1,1
4,"CF10122",0,"branch crown",2,4,0.5
4,"CF10122",0,"vegetative bud",2,4,0.5
4,"CF10122",1,"vegetative bud",2,2,1
4,"CF10277",0,"branch crown",5,6,0.833333333333333
4,"CF10277",0,"vegetative bud",1,6,0.166666666666667
4,"CF12074",0,"branch crown",2,3,0.666666666666667
4,"CF12074",0,"vegetative bud",1,3,0.333333333333333
4,"CF12074",1,"branch crown",1,1,1
4,"CF12074",2,"stolon",1,2,0.5
4,"CF12074",2,"vegetative bud",1,2,0.5
4,"CF9416",0,"branch crown",2,5,0.4
4,"CF9416",0,"stolon",1,5,0.2
4,"CF9416",0,"vegetative bud",2,5,0.4
4,"Ciflorette",0,"branch crown",3,5,0.6
4,"Ciflorette",0,"vegetative bud",2,5,0.4
4,"Ciflorette",1,"vegetative bud",1,1,1
4,"Cigaline",0,"branch crown",1,2,0.5
4,"Cigaline",0,"vegetative bud",1,2,0.5
4,"Cigaline",1,"branch crown",1,2,0.5
4,"Cigaline",1,"vegetative bud",1,2,0.5
4,"CIR107",0,"branch crown",5,5,1
4,"CIR107",1,"vegetative bud",1,1,1
4,"Cireine",0,"branch crown",2,5,0.4
4,"Cireine",0,"vegetative bud",3,5,0.6
4,"Cireine",1,"vegetative bud",1,1,1
4,"Clery",0,"",1,5,0.2
4,"Clery",0,"branch crown",4,5,0.8
4,"Clery",1,"vegetative bud",1,1,1
4,"Darselect",0,"branch crown",3,4,0.75
4,"Darselect",0,"vegetative bud",1,4,0.25
4,"Darselect",1,"branch crown",1,1,1
4,"Dream",0,"branch crown",2,3,0.666666666666667
4,"Dream",0,"vegetative bud",1,3,0.333333333333333
4,"Dream",1,"branch crown",2,2,1
4,"gariguette",0,"vegetative bud",6,6,1
4,"Leroy Ladurie",0,"stolon",3,4,0.75
4,"Leroy Ladurie",0,"vegetative bud",1,4,0.25
4,"Leroy Ladurie",1,"vegetative bud",1,1,1
4,"Leroy Ladurie",3,"vegetative bud",1,1,1
4,"Magnum",0,"branch crown",4,6,0.666666666666667
4,"Magnum",0,"vegetative bud",2,6,0.333333333333333
4,"Manon",0,"branch crown",2,5,0.4
4,"Manon",0,"vegetative bud",3,5,0.6
4,"Manon",1,"vegetative bud",1,1,1
4,"Moutot",0,"branch crown",1,1,1
4,"Moutot",1,"branch crown",1,3,0.333333333333333
4,"Moutot",1,"vegetative bud",2,3,0.666666666666667
4,"Osiris",0,"branch crown",3,4,0.75
4,"Osiris",0,"vegetative bud",1,4,0.25
4,"Osiris",1,"branch crown",1,2,0.5
4,"Osiris",1,"vegetative bud",1,2,0.5
4,"Rubis",0,"vegetative bud",1,1,1
4,"Rubis",1,"vegetative bud",2,2,1
4,"Rubis",3,"vegetative bud",1,1,1
4,"Sanié",0,"branch crown",1,2,0.5
4,"Sanié",0,"vegetative bud",1,2,0.5
4,"Sanié",1,"branch crown",1,2,0.5
4,"Sanié",1,"vegetative bud",1,2,0.5
4,"Sanié",2,"branch crown",1,1,1
4,"Sanié",3,"vegetative bud",1,1,1
4,"Sans rivale",0,"branch crown",3,3,1
5,"Belle_et_Bonne",0,"branch crown",1,4,0.25
5,"Belle_et_Bonne",0,"vegetative bud",3,4,0.75
5,"Belle_et_Bonne",1,"vegetative bud",1,1,1
5,"Belrubi",0,"branch crown",1,3,0.333333333333333
5,"Belrubi",0,"vegetative bud",2,3,0.666666666666667
5,"Belrubi",1,"vegetative bud",2,2,1
5,"CF10122",0,"branch crown",2,3,0.666666666666667
5,"CF10122",0,"vegetative bud",1,3,0.333333333333333
5,"CF10122",1,"branch crown",1,3,0.333333333333333
5,"CF10122",1,"vegetative bud",2,3,0.666666666666667
5,"CF10277",0,"branch crown",2,5,0.4
5,"CF10277",0,"vegetative bud",3,5,0.6
5,"CF10277",1,"vegetative bud",1,1,1
5,"CF12074",0,"branch crown",1,2,0.5
5,"CF12074",0,"vegetative bud",1,2,0.5
5,"CF12074",1,"branch crown",1,2,0.5
5,"CF12074",1,"stolon",1,2,0.5
5,"CF12074",2,"branch crown",1,2,0.5
5,"CF12074",2,"vegetative bud",1,2,0.5
5,"CF9416",0,"branch crown",3,5,0.6
5,"CF9416",0,"vegetative bud",2,5,0.4
5,"Ciflorette",0,"branch crown",1,4,0.25
5,"Ciflorette",0,"vegetative bud",3,4,0.75
5,"Ciflorette",1,"branch crown",1,2,0.5
5,"Ciflorette",1,"vegetative bud",1,2,0.5
5,"Cigaline",0,"vegetative bud",2,2,1
5,"Cigaline",1,"vegetative bud",1,1,1
5,"Cigaline",2,"vegetative bud",1,1,1
5,"CIR107",0,"branch crown",3,3,1
5,"CIR107",1,"vegetative bud",3,3,1
5,"Cireine",0,"branch crown",1,3,0.333333333333333
5,"Cireine",0,"vegetative bud",2,3,0.666666666666667
5,"Cireine",1,"vegetative bud",3,3,1
5,"Clery",0,"branch crown",3,3,1
5,"Clery",1,"vegetative bud",3,3,1
5,"Darselect",0,"vegetative bud",1,1,1
5,"Darselect",1,"branch crown",2,4,0.5
5,"Darselect",1,"vegetative bud",2,4,0.5
5,"Dream",0,"branch crown",1,2,0.5
5,"Dream",0,"vegetative bud",1,2,0.5
5,"Dream",1,"branch crown",1,2,0.5
5,"Dream",1,"vegetative bud",1,2,0.5
5,"Dream",2,"branch crown",1,1,1
5,"gariguette",0,"vegetative bud",6,6,1
5,"Leroy Ladurie",0,"branch crown",1,4,0.25
5,"Leroy Ladurie",0,"stolon",2,4,0.5
5,"Leroy Ladurie",0,"vegetative bud",1,4,0.25
5,"Leroy Ladurie",1,"branch crown",1,1,1
5,"Leroy Ladurie",3,"vegetative bud",1,1,1
5,"Magnum",0,"branch crown",4,5,0.8
5,"Magnum",0,"vegetative bud",1,5,0.2
5,"Magnum",1,"vegetative bud",1,1,1
5,"Manon",0,"branch crown",2,4,0.5
5,"Manon",0,"vegetative bud",2,4,0.5
5,"Manon",1,"vegetative bud",2,2,1
5,"Moutot",1,"branch crown",1,3,0.333333333333333
5,"Moutot",1,"vegetative bud",2,3,0.666666666666667
5,"Moutot",2,"vegetative bud",1,1,1
5,"Osiris",0,"branch crown",3,4,0.75
5,"Osiris",0,"vegetative bud",1,4,0.25
5,"Osiris",1,"branch crown",1,2,0.5
5,"Osiris",1,"vegetative bud",1,2,0.5
5,"Rubis",0,"vegetative bud",1,1,1
5,"Rubis",1,"branch crown",1,2,0.5
5,"Rubis",1,"vegetative bud",1,2,0.5
5,"Rubis",3,"branch crown",1,1,1
5,"Sanié",0,"branch crown",1,1,1
5,"Sanié",1,"vegetative bud",2,2,1
5,"Sanié",2,"branch crown",1,2,0.5
5,"Sanié",2,"vegetative bud",1,2,0.5
5,"Sanié",3,"vegetative bud",1,1,1
5,"Sans rivale",0,"branch crown",1,3,0.333333333333333
5,"Sans rivale",0,"vegetative bud",2,3,0.666666666666667
6,"Belle_et_Bonne",0,"branch crown",1,3,0.333333333333333
6,"Belle_et_Bonne",0,"vegetative bud",2,3,0.666666666666667
6,"Belle_et_Bonne",1,"branch crown",1,2,0.5
6,"Belle_et_Bonne",1,"vegetative bud",1,2,0.5
6,"Belrubi",0,"branch crown",1,2,0.5
6,"Belrubi",0,"vegetative bud",1,2,0.5
6,"Belrubi",1,"branch crown",2,3,0.666666666666667
6,"Belrubi",1,"vegetative bud",1,3,0.333333333333333
6,"CF10122",0,"vegetative bud",1,1,1
6,"CF10122",1,"vegetative bud",4,4,1
6,"CF10122",2,"vegetative bud",1,1,1
6,"CF10277",0,"branch crown",3,4,0.75
6,"CF10277",0,"vegetative bud",1,4,0.25
6,"CF10277",1,"branch crown",2,2,1
6,"CF12074",0,"branch crown",2,2,1
6,"CF12074",1,"branch crown",2,2,1
6,"CF12074",2,"branch crown",2,2,1
6,"CF9416",0,"branch crown",5,5,1
6,"Ciflorette",0,"branch crown",3,3,1
6,"Ciflorette",1,"-1",1,2,0.5
6,"Ciflorette",1,"branch crown",1,2,0.5
6,"Cigaline",0,"branch crown",1,2,0.5
6,"Cigaline",0,"vegetative bud",1,2,0.5
6,"Cigaline",1,"branch crown",1,1,1
6,"Cigaline",2,"vegetative bud",1,1,1
6,"CIR107",0,"vegetative bud",1,1,1
6,"CIR107",1,"branch crown",1,5,0.2
6,"CIR107",1,"vegetative bud",4,5,0.8
6,"Cireine",0,"branch crown",1,3,0.333333333333333
6,"Cireine",0,"vegetative bud",2,3,0.666666666666667
6,"Cireine",1,"branch crown",2,3,0.666666666666667
6,"Cireine",1,"vegetative bud",1,3,0.333333333333333
6,"Clery",0,"branch crown",1,1,1
6,"Clery",1,"branch crown",1,5,0.2
6,"Clery",1,"vegetative bud",4,5,0.8
6,"Darselect",0,"branch crown",1,1,1
6,"Darselect",1,"branch crown",2,2,1
6,"Darselect",2,"vegetative bud",2,2,1
6,"Dream",0,"vegetative bud",1,1,1
6,"Dream",1,"branch crown",2,2,1
6,"Dream",2,"branch crown",1,2,0.5
6,"Dream",2,"vegetative bud",1,2,0.5
6,"gariguette",0,"vegetative bud",6,6,1
6,"Leroy Ladurie",0,"branch crown",1,4,0.25
6,"Leroy Ladurie",0,"vegetative bud",3,4,0.75
6,"Leroy Ladurie",1,"branch crown",1,1,1
6,"Leroy Ladurie",3,"vegetative bud",1,1,1
6,"Magnum",0,"branch crown",2,4,0.5
6,"Magnum",0,"vegetative bud",2,4,0.5
6,"Magnum",1,"vegetative bud",2,2,1
6,"Manon",0,"branch crown",1,4,0.25
6,"Manon",0,"vegetative bud",3,4,0.75
6,"Manon",1,"branch crown",1,2,0.5
6,"Manon",1,"vegetative bud",1,2,0.5
6,"Moutot",1,"branch crown",1,2,0.5
6,"Moutot",1,"vegetative bud",1,2,0.5
6,"Moutot",2,"branch crown",1,2,0.5
6,"Moutot",2,"vegetative bud",1,2,0.5
6,"Osiris",0,"branch crown",3,4,0.75
6,"Osiris",0,"vegetative bud",1,4,0.25
6,"Osiris",1,"vegetative bud",1,1,1
6,"Osiris",2,"vegetative bud",1,1,1
6,"Rubis",0,"vegetative bud",1,1,1
6,"Rubis",1,"stolon",1,1,1
6,"Rubis",2,"vegetative bud",1,1,1
6,"Rubis",4,"vegetative bud",1,1,1
6,"Sanié",0,"branch crown",1,1,1
6,"Sanié",1,"-1",1,2,0.5
6,"Sanié",1,"vegetative bud",1,2,0.5
6,"Sanié",2,"vegetative bud",1,1,1
6,"Sanié",3,"vegetative bud",2,2,1
6,"Sans rivale",0,"branch crown",2,3,0.666666666666667
6,"Sans rivale",0,"vegetative bud",1,3,0.333333333333333
7,"Belle_et_Bonne",0,"branch crown",1,2,0.5
7,"Belle_et_Bonne",0,"vegetative bud",1,2,0.5
7,"Belle_et_Bonne",1,"branch crown",1,3,0.333333333333333
7,"Belle_et_Bonne",1,"vegetative bud",2,3,0.666666666666667
7,"Belrubi",0,"vegetative bud",1,1,1
7,"Belrubi",1,"branch crown",1,2,0.5
7,"Belrubi",1,"vegetative bud",1,2,0.5
7,"Belrubi",2,"vegetative bud",2,2,1
7,"CF10122",0,"vegetative bud",1,1,1
7,"CF10122",1,"branch crown",3,4,0.75
7,"CF10122",1,"vegetative bud",1,4,0.25
7,"CF10122",2,"vegetative bud",1,1,1
7,"CF10277",0,"branch crown",2,3,0.666666666666667
7,"CF10277",0,"vegetative bud",1,3,0.333333333333333
7,"CF10277",1,"branch crown",2,3,0.666666666666667
7,"CF10277",1,"vegetative bud",1,3,0.333333333333333
7,"CF12074",0,"branch crown",1,1,1
7,"CF12074",1,"branch crown",1,3,0.333333333333333
7,"CF12074",1,"vegetative bud",2,3,0.666666666666667
7,"CF12074",2,"branch crown",1,2,0.5
7,"CF12074",2,"vegetative bud",1,2,0.5
7,"CF9416",0,"branch crown",2,3,0.666666666666667
7,"CF9416",0,"vegetative bud",1,3,0.333333333333333
7,"CF9416",1,"vegetative bud",2,2,1
7,"Ciflorette",1,"branch crown",2,4,0.5
7,"Ciflorette",1,"vegetative bud",2,4,0.5
7,"Ciflorette",2,"vegetative bud",1,1,1
7,"Cigaline",0,"branch crown",1,2,0.5
7,"Cigaline",0,"vegetative bud",1,2,0.5
7,"Cigaline",1,"branch crown",1,1,1
7,"Cigaline",2,"branch crown",1,1,1
7,"CIR107",0,"branch crown",1,1,1
7,"CIR107",1,"branch crown",2,4,0.5
7,"CIR107",1,"vegetative bud",2,4,0.5
7,"CIR107",2,"vegetative bud",1,1,1
7,"Cireine",0,"branch crown",2,2,1
7,"Cireine",1,"branch crown",1,2,0.5
7,"Cireine",1,"vegetative bud",1,2,0.5
7,"Cireine",2,"vegetative bud",2,2,1
7,"Clery",0,"vegetative bud",1,1,1
7,"Clery",1,"branch crown",1,4,0.25
7,"Clery",1,"vegetative bud",3,4,0.75
7,"Clery",2,"vegetative bud",1,1,1
7,"Darselect",0,"branch crown",1,1,1
7,"Darselect",2,"vegetative bud",4,4,1
7,"Dream",0,"vegetative bud",1,1,1
7,"Dream",2,"branch crown",1,3,0.333333333333333
7,"Dream",2,"vegetative bud",2,3,0.666666666666667
7,"Dream",3,"vegetative bud",1,1,1
7,"gariguette",0,"branch crown",2,6,0.333333333333333
7,"gariguette",0,"vegetative bud",4,6,0.666666666666667
7,"Leroy Ladurie",0,"branch crown",1,4,0.25
7,"Leroy Ladurie",0,"vegetative bud",3,4,0.75
7,"Leroy Ladurie",2,"vegetative bud",1,1,1
7,"Leroy Ladurie",3,"branch crown",1,1,1
7,"Magnum",0,"branch crown",2,3,0.666666666666667
7,"Magnum",0,"vegetative bud",1,3,0.333333333333333
7,"Magnum",1,"branch crown",1,3,0.333333333333333
7,"Magnum",1,"vegetative bud",2,3,0.666666666666667
7,"Manon",0,"branch crown",2,4,0.5
7,"Manon",0,"vegetative bud",2,4,0.5
7,"Manon",1,"branch crown",1,2,0.5
7,"Manon",1,"vegetative bud",1,2,0.5
7,"Moutot",1,"vegetative bud",1,1,1
7,"Moutot",2,"branch crown",1,2,0.5
7,"Moutot",2,"vegetative bud",1,2,0.5
7,"Moutot",3,"vegetative bud",1,1,1
7,"Osiris",0,"branch crown",1,3,0.333333333333333
7,"Osiris",0,"vegetative bud",2,3,0.666666666666667
7,"Osiris",1,"vegetative bud",2,2,1
7,"Osiris",2,"vegetative bud",1,1,1
7,"Rubis",0,"branch crown",1,1,1
7,"Rubis",1,"branch crown",1,1,1
7,"Rubis",2,"vegetative bud",1,1,1
7,"Rubis",4,"vegetative bud",1,1,1
7,"Sanié",0,"vegetative bud",1,1,1
7,"Sanié",1,"branch crown",1,2,0.5
7,"Sanié",1,"vegetative bud",1,2,0.5
7,"Sanié",2,"vegetative bud",1,1,1
7,"Sanié",3,"branch crown",1,2,0.5
7,"Sanié",3,"vegetative bud",1,2,0.5
7,"Sans rivale",0,"vegetative bud",2,2,1
7,"Sans rivale",1,"vegetative bud",1,1,1
8,"Belle_et_Bonne",0,"branch crown",1,1,1
8,"Belle_et_Bonne",1,"branch crown",1,3,0.333333333333333
8,"Belle_et_Bonne",1,"vegetative bud",2,3,0.666666666666667
8,"Belle_et_Bonne",2,"vegetative bud",1,1,1
8,"Belrubi",0,"vegetative bud",1,1,1
8,"Belrubi",1,"branch crown",2,2,1
8,"Belrubi",2,"-1",1,2,0.5
8,"Belrubi",2,"vegetative bud",1,2,0.5
8,"CF10122",0,"branch crown",1,1,1
8,"CF10122",1,"branch crown",1,1,1
8,"CF10122",2,"branch crown",1,4,0.25
8,"CF10122",2,"vegetative bud",3,4,0.75
8,"CF10277",0,"branch crown",3,3,1
8,"CF10277",1,"branch crown",1,1,1
8,"CF10277",2,"vegetative bud",2,2,1
8,"CF12074",1,"branch crown",1,4,0.25
8,"CF12074",1,"vegetative bud",3,4,0.75
8,"CF12074",2,"vegetative bud",1,1,1
8,"CF12074",3,"vegetative bud",1,1,1
8,"CF9416",0,"vegetative bud",1,1,1
8,"CF9416",1,"vegetative bud",4,4,1
8,"Ciflorette",1,"branch crown",2,3,0.666666666666667
8,"Ciflorette",1,"vegetative bud",1,3,0.333333333333333
8,"Ciflorette",2,"vegetative bud",2,2,1
8,"Cigaline",0,"vegetative bud",1,1,1
8,"Cigaline",1,"vegetative bud",1,1,1
8,"Cigaline",2,"vegetative bud",1,1,1
8,"Cigaline",3,"vegetative bud",1,1,1
8,"CIR107",0,"branch crown",1,1,1
8,"CIR107",1,"branch crown",1,3,0.333333333333333
8,"CIR107",1,"vegetative bud",2,3,0.666666666666667
8,"CIR107",2,"vegetative bud",2,2,1
8,"Cireine",0,"branch crown",1,1,1
8,"Cireine",1,"vegetative bud",3,3,1
8,"Cireine",2,"branch crown",2,2,1
8,"Clery",0,"vegetative bud",1,1,1
8,"Clery",1,"branch crown",3,3,1
8,"Clery",2,"branch crown",1,2,0.5
8,"Clery",2,"vegetative bud",1,2,0.5
8,"Darselect",1,"vegetative bud",1,1,1
8,"Darselect",2,"branch crown",2,4,0.5
8,"Darselect",2,"vegetative bud",2,4,0.5
8,"Dream",0,"branch crown",1,1,1
8,"Dream",2,"branch crown",1,2,0.5
8,"Dream",2,"vegetative bud",1,2,0.5
8,"Dream",3,"vegetative bud",2,2,1
8,"gariguette",0,"branch crown",3,6,0.5
8,"gariguette",0,"vegetative bud",3,6,0.5
8,"Leroy Ladurie",0,"branch crown",1,3,0.333333333333333
8,"Leroy Ladurie",0,"vegetative bud",2,3,0.666666666666667
8,"Leroy Ladurie",1,"vegetative bud",1,1,1
8,"Leroy Ladurie",2,"stolon",1,1,1
8,"Leroy Ladurie",3,"branch crown",1,1,1
8,"Magnum",0,"vegetative bud",1,1,1
8,"Magnum",1,"branch crown",2,5,0.4
8,"Magnum",1,"vegetative bud",3,5,0.6
8,"Manon",0,"branch crown",2,3,0.666666666666667
8,"Manon",0,"vegetative bud",1,3,0.333333333333333
8,"Manon",1,"-1",1,2,0.5
8,"Manon",1,"vegetative bud",1,2,0.5
8,"Manon",2,"vegetative bud",1,1,1
8,"Moutot",1,"branch crown",1,1,1
8,"Moutot",2,"vegetative bud",1,1,1
8,"Moutot",3,"branch crown",1,2,0.5
8,"Moutot",3,"vegetative bud",1,2,0.5
8,"Osiris",0,"branch crown",1,2,0.5
8,"Osiris",0,"vegetative bud",1,2,0.5
8,"Osiris",1,"branch crown",1,3,0.333333333333333
8,"Osiris",1,"vegetative bud",2,3,0.666666666666667
8,"Osiris",2,"vegetative bud",1,1,1
8,"Rubis",1,"branch crown",1,1,1
8,"Rubis",2,"branch crown",1,2,0.5
8,"Rubis",2,"vegetative bud",1,2,0.5
8,"Rubis",4,"vegetative bud",1,1,1
8,"Sanié",0,"branch crown",1,1,1
8,"Sanié",1,"branch crown",1,1,1
8,"Sanié",2,"vegetative bud",1,1,1
8,"Sanié",3,"branch crown",1,2,0.5
8,"Sanié",3,"vegetative bud",1,2,0.5
8,"Sans rivale",0,"vegetative bud",2,2,1
8,"Sans rivale",1,"vegetative bud",1,1,1
9,"Belle_et_Bonne",0,"branch crown",1,1,1
9,"Belle_et_Bonne",1,"branch crown",1,2,0.5
9,"Belle_et_Bonne",1,"vegetative bud",1,2,0.5
9,"Belle_et_Bonne",2,"vegetative bud",2,2,1
9,"Belrubi",0,"branch crown",1,1,1
9,"Belrubi",2,"vegetative bud",3,3,1
9,"CF10122",1,"vegetative bud",1,1,1
9,"CF10122",2,"vegetative bud",4,4,1
9,"CF10122",3,"vegetative bud",1,1,1
9,"CF10277",0,"branch crown",1,1,1
9,"CF10277",1,"vegetative bud",2,2,1
9,"CF10277",2,"branch crown",1,3,0.333333333333333
9,"CF10277",2,"vegetative bud",2,3,0.666666666666667
9,"CF12074",1,"branch crown",2,3,0.666666666666667
9,"CF12074",1,"vegetative bud",1,3,0.333333333333333
9,"CF12074",2,"branch crown",1,2,0.5
9,"CF12074",2,"vegetative bud",1,2,0.5
9,"CF12074",3,"vegetative bud",1,1,1
9,"CF9416",0,"vegetative bud",1,1,1
9,"CF9416",1,"branch crown",2,4,0.5
9,"CF9416",1,"vegetative bud",2,4,0.5
